problem_id,solved,solve_number,verified_job_id,verified_at_utc,race_elapsed_seconds,first_attempt_to_verified_seconds,first_attempt_to_final_outcome_seconds,controller_runs,controller_failed_runs,controller_rollout_sessions,controller_models,controller_statuses,controller_agent_seconds_total,controller_verification_seconds_total,controller_cost_usd,controller_input_tokens,controller_cached_input_tokens,controller_cache_write_input_tokens,controller_output_tokens,controller_reasoning_output_tokens,lean_files,solution_physical_loc,solution_code_loc,added_physical_loc,added_code_loc,declaration_count,controller_cached_input_fraction,controller_cost_per_added_code_loc,nested_subagent_sessions,problem_subtree_sessions,problem_subtree_model_calls,problem_subtree_long_context_calls,problem_subtree_input_tokens,problem_subtree_cached_input_tokens,problem_subtree_cache_write_input_tokens,problem_subtree_output_tokens,problem_subtree_reasoning_output_tokens,problem_subtree_cost_usd,nested_subagent_cost_usd,problem_subtree_cached_input_fraction,problem_subtree_cost_per_added_code_loc
abel_ruffini,True,30,abel_ruffini-001,2026-08-16T10:47:57.331Z,9492.691,1546.791,1546.791,1,0,1,gpt-5.6-sol,verified:1,1353.326,193.459,3.284717000,3750007,3655424,0,32803,9735,2,757,702,744,694,33,0.974778,0.004733,3,4,137,0,6412844,6135552,0,60174,24287,6.259456000,2.974739000,0.95676,0.009019
balanceable_bounded_partitions,True,43,balanceable_bounded_partitions-001,2026-08-16T12:09:06.434Z,14361.794,2719.596,2719.596,1,0,1,gpt-5.6-sol,verified:1,2696.619,22.971,7.807565000,10071781,9898240,0,66358,47187,6,665,632,652,624,16,0.98277,0.012512,4,5,355,0,29681920,28991744,0,269501,198464,26.031782000,18.224217000,0.976748,0.041718
banach_alaoglu_bourbaki,True,36,banach_alaoglu_bourbaki-001,2026-08-16T11:06:18.357Z,10593.717,785.163,785.163,1,0,1,gpt-5.6-sol,verified:1,749.71,35.447,2.153641000,2159495,2056192,0,20301,11510,2,110,101,93,89,5,0.952163,0.024198,3,4,120,0,6208255,5868544,0,57868,26653,6.368867000,4.215226000,0.945281,0.07156
bauer_extreme_point_uniqueness,True,24,bauer_extreme_point_uniqueness-001,2026-08-16T10:08:22.099Z,7117.459,356.523,356.523,1,0,1,gpt-5.6-sol,verified:1,284.041,72.477,0.835272000,737526,680704,0,7027,1985,2,53,47,33,33,1,0.922956,0.025311,3,4,55,0,1731455,1580288,0,19924,7039,2.143699000,1.308427000,0.912694,0.064961
boone_higman_embedding,True,52,boone_higman_embedding-002,2026-08-16T13:28:56.056Z,19151.416,1381.488,1381.488,2,1,2,gpt-5.6-sol,verification_failed:1;verified:1,1080.27,41.356,4.081615000,5030729,4844800,0,24319,12575,7,1000,895,985,884,83,0.963041,0.004617,3,5,179,0,10105318,9705728,0,65962,27150,8.829674000,4.748059000,0.960457,0.009988
boone_higman_simple,True,48,boone_higman_simple-001,2026-08-16T12:58:01.835Z,17297.195,683.656,683.656,1,0,1,gpt-5.6-sol,verified:1,660.219,23.43,2.220377000,2250721,2141184,0,20070,6567,4,508,458,494,449,37,0.951332,0.004945,3,4,127,0,6629831,6336768,0,50231,20063,6.140629000,3.920252000,0.955796,0.013676
brauer_character_in_cyclotomic,True,18,brauer_character_in_cyclotomic-001,2026-08-16T09:24:04.127Z,4459.487,594.844,594.844,1,0,1,gpt-5.6-sol,verified:1,428.03,166.804,1.954233000,2173545,2067456,0,13002,6479,2,63,58,49,48,1,0.951191,0.040713,3,4,96,0,4345254,4071424,0,38728,16118,4.566702000,2.612469000,0.936982,0.09514
brauer_fowler,True,46,brauer_fowler-001,2026-08-16T12:37:47.707Z,16083.067,560.898,560.898,1,0,1,gpt-5.6-sol,verified:1,535.812,25.081,1.287510000,1094118,1016320,0,13012,5526,2,273,250,259,240,3,0.928894,0.005365,3,4,71,0,3028902,2812160,0,42437,15188,3.762900000,2.475390000,0.928442,0.015679
brouwer_fixed_point,True,26,brouwer_fixed_point-001,2026-08-16T10:22:38.959Z,7974.319,1164.377,1164.377,1,0,1,gpt-5.6-sol,verified:1,1063.584,100.78,9.175998000,14307570,14085376,0,34078,16181,6,3431,3124,3413,3111,115,0.98447,0.00295,6,7,310,0,26550739,25744896,0,110743,50607,20.223953000,11.047955000,0.969649,0.006501
bvp_comparison,True,5,bvp_comparison-001,2026-08-16T08:14:24.274Z,279.634,279.578,279.578,1,0,1,gpt-5.6-terra,verified:1,191.249,88.325,0.077875600,102893,86528,0,2320,1082,2,44,40,25,25,1,0.840951,0.003115,0,1,6,0,102893,86528,0,2320,1082,0.077875600,0.000000000,0.840951,0.003115
choquet_representation_theorem,True,76,choquet_representation_theorem-001,2026-08-16T20:28:22.785Z,44318.145,1673.67,1673.67,1,0,1,gpt-5.6-sol,verified:1,1609.57,64.093,9.731149000,14381015,14124288,0,46179,17805,7,1115,1002,1097,990,46,0.982148,0.009829,3,4,365,0,53513908,52506368,0,162299,67646,36.159854000,26.428705000,0.981172,0.036525
