solve_number,problem_id,verified_at_utc,elapsed_seconds,plot_elapsed_seconds
1,symplectic_matrix_det,2026-08-16T08:11:34.826Z,110.186,110.186
2,cubic_decay_asymptotic,2026-08-16T08:12:26.964Z,162.324,162.324
3,koszul_formula,2026-08-16T08:12:29.524Z,164.884,164.884
4,mulCayley_connected_iff_closure_eq_top,2026-08-16T08:13:20.809Z,216.169,216.169
5,bvp_comparison,2026-08-16T08:14:24.274Z,279.634,279.634
6,posSemidef_map_exp,2026-08-16T08:17:43.273Z,478.633,478.633
7,substInv_X_sub_X_sq_eq_catalan,2026-08-16T08:22:22.767Z,758.127,758.127
8,finite_graph_ramsey_theorem,2026-08-16T08:22:31.683Z,767.043,767.043
9,mem_convexHull_finset_extremePoints_of_mem_compact_convex,2026-08-16T08:30:14.366Z,1229.726,1229.726
10,sturm_separation,2026-08-16T08:32:47.545Z,1382.905,1382.905
11,hippocrates_lunes,2026-08-16T08:42:05.480Z,1940.840,1940.840
12,euler_lagrange_equation,2026-08-16T08:45:51.503Z,2166.863,2166.863
13,lp_maximum_principle,2026-08-16T08:50:09.828Z,2425.188,2425.188
14,trace_cayley_hamilton_newton,2026-08-16T09:04:44.442Z,3299.802,3299.802
15,normal_spectral_theorem,2026-08-16T09:05:29.546Z,3344.906,3344.906
16,pi1_circle_mulEquiv_int,2026-08-16T09:08:11.513Z,3506.873,3506.873
17,pell_solution_convergent,2026-08-16T09:13:45.809Z,3841.169,3841.169
18,brauer_character_in_cyclotomic,2026-08-16T09:24:04.127Z,4459.487,4459.487
19,irreducible_nonnegative_matrix_has_positive_eigenvector_at_spectralRadius,2026-08-16T09:27:23.767Z,4659.127,4659.127
20,oppenheim_inequality,2026-08-16T09:30:57.022Z,4872.382,4872.382
21,nash_equilibrium_exists,2026-08-16T09:55:22.079Z,6337.439,6337.439
22,rouche_zero_count_eq,2026-08-16T09:56:23.592Z,6398.952,6398.952
23,exists_complementary_polynomial_on_unit_circle,2026-08-16T10:04:09.760Z,6865.120,6865.120
24,bauer_extreme_point_uniqueness,2026-08-16T10:08:22.099Z,7117.459,7117.459
25,rising_sun_lemma,2026-08-16T10:19:57.069Z,7812.429,7812.429
26,brouwer_fixed_point,2026-08-16T10:22:38.959Z,7974.319,7974.319
27,regular_value_ae,2026-08-16T10:23:08.972Z,8004.332,8004.332
28,sard_theorem,2026-08-16T10:31:38.904Z,8514.264,8514.264
29,compact_group_semisimple,2026-08-16T10:37:44.197Z,8879.557,8879.557
30,abel_ruffini,2026-08-16T10:47:57.331Z,9492.691,9492.691
31,monge_kantorovich,2026-08-16T10:53:54.257Z,9849.617,9849.617
32,nyquist_shannon_sampling,2026-08-16T10:53:58.068Z,9853.428,9853.428
33,chudnovsky_formula_for_pi_inv,2026-08-16T10:59:10.053Z,10165.413,10165.413
34,radon_transform_inversion,2026-08-16T11:00:33.313Z,10248.673,10248.673
35,dirichlet_eigenvalues_eq_nat_sq,2026-08-16T11:06:17.904Z,10593.264,10593.264
36,banach_alaoglu_bourbaki,2026-08-16T11:06:18.357Z,10593.717,10593.717
37,wiener_atom_detection,2026-08-16T11:20:09.979Z,11425.339,11425.339
38,heat_kernel_solves_heat_equation,2026-08-16T11:25:22.082Z,11737.442,11737.442
39,cyclotomic_integer_house_le_two,2026-08-16T11:49:53.861Z,13209.221,13209.221
40,fourier_dirichlet_fejer,2026-08-16T11:51:32.583Z,13307.943,13307.943
41,schauder_fixed_point,2026-08-16T11:58:21.708Z,13717.068,13717.068
42,pascal,2026-08-16T12:08:54.406Z,14349.766,14349.766
43,balanceable_bounded_partitions,2026-08-16T12:09:06.434Z,14361.794,14361.794
44,linear_ode_asymptotic_stability,2026-08-16T12:30:47.633Z,15662.993,15662.993
